abx,mut,sample_count,rep,GENE_name,EAKS.rank,EAsum.rank,Freq.rank
CIP,MT,1,1,acrR,1,1,1
CIP,MT,1,1,gyrA,175,195,295
CIP,MT,1,1,parE,82,94,260
CIP,MT,1,1,gyrB,50,70,286
CIP,MT,1,1,soxR,206,204,38
CIP,MT,1,2,ompF,285,57,10
CIP,MT,1,2,gyrA,255,176,41
CIP,MT,1,2,parC,110,136,390
CIP,MT,1,2,gyrB,391,419,394
CIP,MT,1,3,acrR,41,39,82.5
CIP,MT,1,3,gyrA,222,154,24
CIP,MT,1,3,parE,235,251,311
CIP,MT,1,4,ompF,226,239,254
CIP,MT,1,4,gyrA,247,11,7
CIP,MT,1,4,parC,135,182,446.5
CIP,MT,1,5,ompF,157,161,122
CIP,MT,1,5,gyrA,233,67,1
CIP,MT,1,5,parE,101,111,209
CIP,MT,1,6,gyrA,21,9,2
CIP,MT,1,6,parC,7,7,45
CIP,MT,1,7,gyrA,21,9,2
CIP,MT,1,7,parC,7,7,45
CIP,MT,1,8,acrR,40,43,65.5
CIP,MT,1,8,soxR,203,193,37.5
CIP,MT,1,9,acrR,40,41,113
CIP,MT,1,9,gyrA,144,58,49
CIP,MT,1,9,parC,89,11,39
CIP,MT,1,9,parE,97,122,396
CIP,MT,1,9,gyrB,380,417,423
CIP,MT,1,9,rob,107,116,172
CIP,MT,1,10,gyrA,16,18,94
CIP,MT,1,10,parC,1,1,4
CIP,MT,1,10,soxR,49,50,12
CIP,MT,2,1,ompF,440,104,30
CIP,MT,2,1,gyrA,271,18,9
CIP,MT,2,1,parC,7,1,4
CIP,MT,2,1,gyrB,600,649,616
CIP,MT,2,1,soxR,409.5,394,128
CIP,MT,2,2,ompF,36.5,118,648
CIP,MT,2,2,marR,2,9,22
CIP,MT,2,2,gyrA,258,4,2
CIP,MT,2,2,parC,13,2,1
CIP,MT,2,2,parE,232,407,971.5
CIP,MT,2,2,gyrB,233,7,6
CIP,MT,2,2,rob,567,130,58
CIP,MT,2,3,ompF,218,26,72
CIP,MT,2,3,marR,50,80,209
CIP,MT,2,3,gyrA,440,73,13
CIP,MT,2,3,parC,1,1,5
CIP,MT,2,3,parE,528,291,197
CIP,MT,2,3,gyrB,327,281,295
CIP,MT,2,3,soxR,604,554,225
CIP,MT,2,4,ompF,17.5,42,312
CIP,MT,2,4,gyrA,95,14,14
CIP,MT,2,4,parC,64,3,9
CIP,MT,2,4,parE,117,168,501.5
CIP,MT,2,4,soxR,366,344,111
CIP,MT,2,5,ompF,33,52,342
CIP,MT,2,5,gyrA,275,6,3
CIP,MT,2,5,parC,1,1,2
